"X.SampleID"	"subject"	"timepoint"	"shannon_alpha"	"sample_site"	"sex"	"ID_unique"	"shannon_avg"
"10370.1A10"	"Volunteer 1"	"0"	6.38287204723	"Armpit"	"female"	"Volunteer 1Armpit"	5.56801967059
"10370.4A10"	"Volunteer 1"	"1"	2.26137227886	"Armpit"	"female"	"Volunteer 1Armpit"	2.26137227886
"10370.6A12"	"Volunteer 1"	"2"	4.40619897434	"Armpit"	"female"	"Volunteer 1Armpit"	4.40619897434
"10370.8C2"	"Volunteer 1"	"3"	2.28032331669	"Armpit"	"female"	"Volunteer 1Armpit"	2.227507383615
"10370.13E10"	"Volunteer 1"	"5"	4.85754014635	"Armpit"	"female"	"Volunteer 1Armpit"	4.85754014635
"10370.15G4"	"Volunteer 1"	"6"	6.20266586908	"Armpit"	"female"	"Volunteer 1Armpit"	6.20266586908
"10370.18D7"	"Volunteer 1"	"7"	5.28937303556	"Armpit"	"female"	"Volunteer 1Armpit"	5.28937303556
"10370.20E11"	"Volunteer 1"	"8"	4.94647349795	"Armpit"	"female"	"Volunteer 1Armpit"	4.94647349795
"10370.23D5"	"Volunteer 1"	"9"	4.36768791795	"Armpit"	"female"	"Volunteer 1Armpit"	3.32209906256
"10370.1A5"	"Volunteer 1"	"0"	4.83950093667	"Face"	"female"	"Volunteer 1Face"	4.82674372729667
"10370.4A5"	"Volunteer 1"	"1"	5.574064579	"Face"	"female"	"Volunteer 1Face"	4.88225371171333
"10370.6A6"	"Volunteer 1"	"2"	5.25171330557	"Face"	"female"	"Volunteer 1Face"	5.290624073525
"10370.8B10"	"Volunteer 1"	"3"	5.88451718238	"Face"	"female"	"Volunteer 1Face"	5.5916507564725
"10370.11A4"	"Volunteer 1"	"4"	4.83806272062	"Face"	"female"	"Volunteer 1Face"	5.01381586879
"10370.13E7"	"Volunteer 1"	"5"	5.06333011874	"Face"	"female"	"Volunteer 1Face"	5.30309064745
"10370.15F11"	"Volunteer 1"	"6"	6.36750761687	"Face"	"female"	"Volunteer 1Face"	5.80115400320667
"10370.18D1"	"Volunteer 1"	"7"	6.00017098486	"Face"	"female"	"Volunteer 1Face"	5.7006031002275
"10370.20E6"	"Volunteer 1"	"8"	4.87979850866	"Face"	"female"	"Volunteer 1Face"	5.04155003102
"10370.23D2"	"Volunteer 1"	"9"	4.34201533645	"Face"	"female"	"Volunteer 1Face"	4.41098206269667
"10370.1B2"	"Volunteer 1"	"0"	6.08356488312	"Arm"	"female"	"Volunteer 1Arm"	6.08356488312
"10370.6B1"	"Volunteer 1"	"2"	6.48930949747	"Arm"	"female"	"Volunteer 1Arm"	6.24624082369667
"10370.8C6"	"Volunteer 1"	"3"	5.93978106581	"Arm"	"female"	"Volunteer 1Arm"	6.94057374234
"10370.11B1"	"Volunteer 1"	"4"	5.26737294377	"Arm"	"female"	"Volunteer 1Arm"	5.26737294377
"10370.13F2"	"Volunteer 1"	"5"	6.91906500673	"Arm"	"female"	"Volunteer 1Arm"	7.141205873535
